id,key,value,module,section,type,level,summary,detail
116,repo_upstream,"[{'name': 'base', 'module': 'node', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/centos/$releasever/os/$basearch/', 'europe': 'https://mirrors.xtom.de/centos/$releasever/os/$basearch/', 'default': 'http://mirror.centos.org/centos/$releasever/os/$basearch/'}, 'releases': [7], 'description': 'EL 7 Base'}, {'name': 'updates', 'module': 'node', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/centos/$releasever/updates/$basearch/', 'europe': 'https://mirrors.xtom.de/centos/$releasever/updates/$basearch/', 'default': 'http://mirror.centos.org/centos/$releasever/updates/$basearch/'}, 'releases': [7], 'description': 'EL 7 Updates'}, {'name': 'extras', 'module': 'node', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/centos/$releasever/extras/$basearch/', 'europe': 'https://mirrors.xtom.de/centos/$releasever/extras/$basearch/', 'default': 'http://mirror.centos.org/centos/$releasever/extras/$basearch/'}, 'releases': [7], 'description': 'EL 7 Extras'}, {'name': 'epel', 'module': 'node', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/epel/$releasever/$basearch/', 'europe': 'https://mirrors.xtom.de/epel/$releasever/$basearch/', 'default': 'http://download.fedoraproject.org/pub/epel/$releasever/$basearch/'}, 'releases': [7], 'description': 'EL 7 EPEL'}, {'name': 'centos-sclo', 'module': 'node', 'baseurl': {'china': 'https://mirrors.aliyun.com/centos/$releasever/sclo/$basearch/sclo/', 'europe': 'https://mirrors.xtom.de/centos/$releasever/sclo/$basearch/sclo/', 'default': 'http://mirror.centos.org/centos/$releasever/sclo/$basearch/sclo/'}, 'releases': [7], 'description': 'EL 7 SCLo'}, {'name': 'centos-sclo-rh', 'module': 'node', 'baseurl': {'china': 'https://mirrors.aliyun.com/centos/$releasever/sclo/$basearch/rh/', 'europe': 'https://mirrors.xtom.de/centos/$releasever/sclo/$basearch/rh/', 'default': 'http://mirror.centos.org/centos/$releasever/sclo/$basearch/rh/'}, 'releases': [7], 'description': 'EL 7 SCLo rh'}, {'name': 'baseos', 'module': 'node', 'baseurl': {'china': 'https://mirrors.aliyun.com/rockylinux/$releasever/BaseOS/$basearch/os/', 'europe': 'https://mirrors.xtom.de/rocky/$releasever/BaseOS/$basearch/os/', 'default': 'https://dl.rockylinux.org/pub/rocky/$releasever/BaseOS/$basearch/os/'}, 'releases': [8, 9], 'description': 'EL 8+ BaseOS'}, {'name': 'appstream', 'module': 'node', 'baseurl': {'china': 'https://mirrors.aliyun.com/rockylinux/$releasever/AppStream/$basearch/os/', 'europe': 'https://mirrors.xtom.de/rocky/$releasever/AppStream/$basearch/os/', 'default': 'https://dl.rockylinux.org/pub/rocky/$releasever/AppStream/$basearch/os/'}, 'releases': [8, 9], 'description': 'EL 8+ AppStream'}, {'name': 'extras', 'module': 'node', 'baseurl': {'china': 'https://mirrors.aliyun.com/rockylinux/$releasever/extras/$basearch/os/', 'europe': 'https://mirrors.xtom.de/rocky/$releasever/extras/$basearch/os/', 'default': 'https://dl.rockylinux.org/pub/rocky/$releasever/extras/$basearch/os/'}, 'releases': [8, 9], 'description': 'EL 8+ Extras'}, {'name': 'epel', 'module': 'node', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/epel/$releasever/Everything/$basearch/', 'europe': 'https://mirrors.xtom.de/epel/$releasever/Everything/$basearch/', 'default': 'http://download.fedoraproject.org/pub/epel/$releasever/Everything/$basearch/'}, 'releases': [8, 9], 'description': 'EL 8+ EPEL'}, {'name': 'powertools', 'module': 'node', 'baseurl': {'china': 'https://mirrors.aliyun.com/rockylinux/$releasever/PowerTools/$basearch/os/', 'europe': 'https://mirrors.xtom.de/rocky/$releasever/PowerTools/$basearch/os/', 'default': 'https://dl.rockylinux.org/pub/rocky/$releasever/PowerTools/$basearch/os/'}, 'releases': [8], 'description': 'EL 8 PowerTools'}, {'name': 'crb', 'module': 'node', 'baseurl': {'china': 'https://mirrors.aliyun.com/rockylinux/$releasever/CRB/$basearch/os/', 'europe': 'https://mirrors.xtom.de/rocky/$releasever/CRB/$basearch/os/', 'default': 'https://dl.rockylinux.org/pub/rocky/$releasever/CRB/$basearch/os/'}, 'releases': [9], 'description': 'EL 9 CRB'}, {'name': 'crystaldb15', 'module': 'pgsql', 'baseurl': {'default': 'https://dl.crystaldb.com/yum/15/redhat/rhel-$releasever-$basearch'}, 'releases': [8, 9], 'description': 'CrystalDB 15'}, {'name': 'pgdg-common', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/common/redhat/rhel-$releasever-$basearch', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/common/redhat/rhel-$releasever-$basearch', 'default': 'https://download.postgresql.org/pub/repos/yum/common/redhat/rhel-$releasever-$basearch'}, 'releases': [7, 8, 9], 'description': 'PostgreSQL Common'}, {'name': 'pgdg-extras', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/common/pgdg-rhel$releasever-extras/redhat/rhel-$releasever-$basearch', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/common/pgdg-rhel$releasever-extras/redhat/rhel-$releasever-$basearch', 'default': 'https://download.postgresql.org/pub/repos/yum/common/pgdg-rhel$releasever-extras/redhat/rhel-$releasever-$basearch'}, 'releases': [7, 8, 9], 'description': 'PostgreSQL Extra'}, {'name': 'pgdg-el8fix', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/common/pgdg-centos8-sysupdates/redhat/rhel-8-x86_64/', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/common/pgdg-centos8-sysupdates/redhat/rhel-8-x86_64/', 'default': 'https://download.postgresql.org/pub/repos/yum/common/pgdg-centos8-sysupdates/redhat/rhel-8-x86_64/'}, 'releases': [8], 'description': 'PostgreSQL EL8FIX'}, {'name': 'pgdg-el9fix', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/common/pgdg-rocky9-sysupdates/redhat/rhel-9-x86_64/', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/common/pgdg-rocky9-sysupdates/redhat/rhel-9-x86_64/', 'default': 'https://download.postgresql.org/pub/repos/yum/common/pgdg-rocky9-sysupdates/redhat/rhel-9-x86_64/'}, 'releases': [9], 'description': 'PostgreSQL EL9FIX'}, {'name': 'pgdg12', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/12/redhat/rhel-$releasever-$basearch', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/12/redhat/rhel-$releasever-$basearch', 'default': 'https://download.postgresql.org/pub/repos/yum/12/redhat/rhel-$releasever-$basearch'}, 'releases': [7, 8, 9], 'description': 'PostgreSQL 12'}, {'name': 'pgdg13', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/13/redhat/rhel-$releasever-$basearch', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/13/redhat/rhel-$releasever-$basearch', 'default': 'https://download.postgresql.org/pub/repos/yum/13/redhat/rhel-$releasever-$basearch'}, 'releases': [7, 8, 9], 'description': 'PostgreSQL 13'}, {'name': 'pgdg14', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/14/redhat/rhel-$releasever-$basearch', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/14/redhat/rhel-$releasever-$basearch', 'default': 'https://download.postgresql.org/pub/repos/yum/14/redhat/rhel-$releasever-$basearch'}, 'releases': [7, 8, 9], 'description': 'PostgreSQL 14'}, {'name': 'pgdg15', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/15/redhat/rhel-$releasever-$basearch', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/15/redhat/rhel-$releasever-$basearch', 'default': 'https://download.postgresql.org/pub/repos/yum/15/redhat/rhel-$releasever-$basearch'}, 'releases': [7, 8, 9], 'description': 'PostgreSQL 15'}, {'name': 'pgdg16beta', 'module': 'pgsql', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/postgresql/repos/yum/testing/16/redhat/rhel-$releasever-$basearch', 'europe': 'https://mirrors.xtom.de/postgresql/repos/yum/testing/16/redhat/rhel-$releasever-$basearch', 'default': 'https://download.postgresql.org/pub/repos/yum/testing/16/redhat/rhel-$releasever-$basearch'}, 'releases': [7, 8, 9], 'description': 'PostgreSQL 16 Beta'}, {'name': 'timescaledb', 'module': 'pgsql', 'baseurl': {'default': 'https://packagecloud.io/timescale/timescaledb/el/$releasever/$basearch'}, 'releases': [7, 8, 9], 'description': 'TimescaleDB'}, {'name': 'nginx', 'module': 'csi', 'baseurl': {'default': 'https://nginx.org/packages/centos/$releasever/$basearch/'}, 'releases': [7, 8, 9], 'description': 'Nginx Repo'}, {'name': 'docker-ce', 'module': 'csi', 'baseurl': {'china': 'https://mirrors.tuna.tsinghua.edu.cn/docker-ce/linux/centos/$releasever/$basearch/stable', 'europe': 'https://mirrors.xtom.de/docker-ce/linux/centos/$releasever/$basearch/stable', 'default': 'https://download.docker.com/linux/centos/$releasever/$basearch/stable'}, 'releases': [7, 8, 9], 'description': 'Docker CE'}, {'name': 'grafana', 'module': 'csi', 'baseurl': {'china': 'https://get.pigsty.cc/yum/grafana/$basearch', 'default': 'https://rpm.grafana.com'}, 'releases': [7, 8, 9], 'description': 'Grafana'}]",CSI,REPO,upstream[],G,where to download upstream packages,
117,repo_packages,"['ansible python3 python3-pip python3-requests python3.11-jmespath dnf-utils modulemd-tools', 'grafana loki logcli promtail prometheus2 alertmanager karma pushgateway node_exporter blackbox_exporter nginx_exporter redis_exporter', 'redis etcd minio mcli haproxy vip-manager pg_exporter nginx createrepo_c sshpass chrony dnsmasq docker-ce docker-compose-plugin flamegraph', 'lz4 unzip bzip2 zlib yum pv jq git ncdu make patch bash lsof wget uuid tuned perf nvme-cli numactl grubby sysstat iotop htop rsync tcpdump', 'netcat socat ftp lrzsz net-tools ipvsadm bind-utils telnet audit ca-certificates openssl openssh-clients readline vim-minimal', 'postgresql13* wal2json_13* pg_repack_13* passwordcheck_cracklib_13* postgresql12* wal2json_12* pg_repack_12* passwordcheck_cracklib_12* postgresql16* timescaledb-tools', 'postgresql15 postgresql15* citus_15* pglogical_15* wal2json_15* pg_repack_15* pgvector_15* timescaledb-2-postgresql-15* postgis33_15* passwordcheck_cracklib_15* pg_cron_15*', 'postgresql14 postgresql14* citus_14* pglogical_14* wal2json_14* pg_repack_14* pgvector_14* timescaledb-2-postgresql-14* postgis33_14* passwordcheck_cracklib_14* pg_cron_14*', 'patroni patroni-etcd pgbouncer pgbadger pgbackrest pgloader pg_activity pg_partman_15 pg_permissions_15 pgaudit17_15 pgexportdoc_15 pgimportdoc_15 pg_statement_rollback_15*', 'orafce_15* mysqlcompat_15 mongo_fdw_15* tds_fdw_15* mysql_fdw_15 hdfs_fdw_15 sqlite_fdw_15 pgbouncer_fdw_15 multicorn2_15* powa_15* pg_stat_kcache_15* pg_stat_monitor_15* pg_qualstats_15 pg_track_settings_15 pg_wait_sampling_15 system_stats_15', 'plprofiler_15* plproxy_15 plsh_15* pldebugger_15 plpgsql_check_15*  pgtt_15 pgq_15* pgsql_tweaks_15 count_distinct_15 hypopg_15 timestamp9_15* semver_15* prefix_15* rum_15 geoip_15 periods_15 ip4r_15 tdigest_15 hll_15 pgmp_15 extra_window_functions_15 topn_15', 'pg_background_15 e-maj_15 pg_catcheck_15 pg_prioritize_15 pgcopydb_15 pg_filedump_15 pgcryptokey_15 logerrors_15 pg_top_15 pg_comparator_15 pg_ivm_15* pgsodium_15* pgfincore_15* ddlx_15 credcheck_15 safeupdate_15 pg_squeeze_15* pg_fkpart_15 pg_jobmon_15']",CSI,REPO,string[],G,which packages to be included,
118,repo_url_packages,"['https://dl.crystaldb.com/resources/pev.html', 'https://dl.crystaldb.com/resources/chart.tgz']",CSI,REPO,string[],G,extra packages from url,
120,csi_packages,"['grafana,loki,logcli,promtail,prometheus2,alertmanager,karma,pushgateway', 'node_exporter,blackbox_exporter,nginx_exporter,redis_exporter,pg_exporter', 'nginx,dnsmasq,ansible,postgresql15,redis,mcli,python3-requests']",CSI,CSI_PACKAGE,string[],G,packages to be installed on csi nodes,
121,csi_packages_pip,,CSI,CSI_PACKAGE,string,G,pip installed packages for csi nodes,
130,nginx_enabled,True,CSI,NGINX,bool,G/I,enable nginx on this csi node?,
131,nginx_exporter_enabled,True,CSI,NGINX,bool,G/I,enable nginx_exporter on this csi node?,
132,nginx_sslmode,enable,CSI,NGINX,enum,G,"nginx ssl mode? disable,enable,enforce",
133,nginx_home,/www,CSI,NGINX,path,G,"nginx content dir, `/www` by default",
134,nginx_port,80,CSI,NGINX,port,G,"nginx listen port, 80 by default",
135,nginx_ssl_port,443,CSI,NGINX,port,G,"nginx ssl listen port, 443 by default",
136,nginx_navbar,"[{'url': '/ca.crt', 'desc': 'crystaldb self-signed ca.crt', 'name': 'CA Cert'}, {'url': '/crystaldb', 'desc': 'local yum repo packages', 'name': 'Package'}, {'url': '/crystaldb/pev.html', 'desc': 'postgres explain visualizer', 'name': 'Explain'}, {'url': '/logs', 'desc': 'postgres raw csv logs', 'name': 'PG Logs'}, {'url': '/report', 'desc': 'pgbadger summary report', 'name': 'Reports'}]",CSI,NGINX,index[],G,nginx index page navigation links,
140,dns_enabled,True,CSI,DNS,bool,G/I,setup dnsmasq on this csi node?,
141,dns_port,53,CSI,DNS,port,G,"dns server listen port, 53 by default",
142,dns_records,"['${admin_ip} h.crystaldb a.crystaldb p.crystaldb g.crystaldb', '${admin_ip} api.crystaldb adm.crystaldb cli.crystaldb ddl.crystaldb lab.crystaldb git.crystaldb sss.crystaldb wiki.crystaldb']",CSI,DNS,string[],G,dynamic dns records resolved by dnsmasq,
150,prometheus_enabled,True,CSI,PROMETHEUS,bool,G/I,enable prometheus on this csi node?,
151,prometheus_clean,True,CSI,PROMETHEUS,bool,G/A,clean prometheus data during init?,
152,prometheus_data,/data/prometheus,CSI,PROMETHEUS,path,G,"prometheus data dir, `/data/prometheus` by default",
153,prometheus_sd_interval,5s,CSI,PROMETHEUS,interval,G,"prometheus target refresh interval, 5s by default",
154,prometheus_scrape_interval,10s,CSI,PROMETHEUS,interval,G,"prometheus scrape & eval interval, 10s by default",
155,prometheus_scrape_timeout,8s,CSI,PROMETHEUS,interval,G,"prometheus global scrape timeout, 8s by default",
156,prometheus_options,--storage.tsdb.retention.time=15d,CSI,PROMETHEUS,arg,G,prometheus extra server options,
157,pushgateway_enabled,True,CSI,PROMETHEUS,bool,G/I,setup pushgateway on this csi node?,
158,pushgateway_options,--persistence.interval=1m,CSI,PROMETHEUS,arg,G,pushgateway extra server options,
159,blackbox_enabled,True,CSI,PROMETHEUS,bool,G/I,setup blackbox_exporter on this csi node?,
160,blackbox_options,,CSI,PROMETHEUS,arg,G,blackbox_exporter extra server options,
161,alertmanager_enabled,True,CSI,PROMETHEUS,bool,G/I,setup alertmanager on this csi node?,
162,alertmanager_options,,CSI,PROMETHEUS,arg,G,alertmanager extra server options,
163,exporter_metrics_path,/metrics,CSI,PROMETHEUS,path,G,"exporter metric path, `/metrics` by default",
164,exporter_install,none,CSI,PROMETHEUS,enum,G,"how to install exporter? none,yum,binary",
165,exporter_repo_url,,CSI,PROMETHEUS,url,G,exporter repo file url if install exporter via yum,
170,grafana_enabled,True,CSI,GRAFANA,bool,G/I,enable grafana on this csi node?,
171,grafana_clean,True,CSI,GRAFANA,bool,G/A,clean grafana data during init?,
172,grafana_admin_username,admin,CSI,GRAFANA,username,G,"grafana admin username, `admin` by default",
173,grafana_admin_password,crystaldb,CSI,GRAFANA,password,G,"grafana admin password, `crystaldb` by default",
174,grafana_plugin_cache,/www/crystaldb/plugins.tgz,CSI,GRAFANA,path,G,path to grafana plugins cache tarball,
175,grafana_plugin_list,"['volkovlabs-echarts-panel', 'volkovlabs-image-panel', 'volkovlabs-form-panel', 'volkovlabs-grapi-datasource', 'marcusolsson-dynamictext-panel', 'marcusolsson-treemap-panel', 'marcusolsson-calendar-panel', 'marcusolsson-static-datasource']",CSI,GRAFANA,string[],G,grafana plugins to be downloaded with grafana-cli,
176,loki_enabled,True,CSI,LOKI,bool,G/I,enable loki on this csi node?,
177,loki_clean,False,CSI,LOKI,bool,G/A,whether remove existing loki data?,
178,loki_data,/data/loki,CSI,LOKI,path,G,"loki data dir, `/data/loki` by default",
179,loki_retention,15d,CSI,LOKI,interval,G,"loki log retention period, 15d by default",
201,nodename,,NODE,NODE_ID,string,I,"node instance identity, use hostname if missing, optional",
202,node_cluster,nodes,NODE,NODE_ID,string,C,"node cluster identity, use 'nodes' if missing, optional",
203,nodename_overwrite,True,NODE,NODE_ID,bool,C,overwrite node's hostname with nodename?,
204,nodename_exchange,False,NODE,NODE_ID,bool,C,exchange nodename among play hosts?,
205,node_id_from_pg,True,NODE,NODE_ID,bool,C,use postgres identity as node identity if applicable?,
210,node_default_etc_hosts,['${admin_ip} h.crystaldb a.crystaldb p.crystaldb g.crystaldb'],NODE,NODE_DNS,string[],G,static dns records in `/etc/hosts`,
211,node_etc_hosts,[],NODE,NODE_DNS,string[],C,extra static dns records in `/etc/hosts`,
212,node_dns_method,add,NODE,NODE_DNS,enum,C,"how to handle dns servers: add,none,overwrite",
213,node_dns_servers,['${admin_ip}'],NODE,NODE_DNS,string[],C,dynamic nameserver in `/etc/resolv.conf`,
214,node_dns_options,['options single-request-reopen timeout:1'],NODE,NODE_DNS,string[],C,dns resolv options in `/etc/resolv.conf`,
220,node_repo_method,local,NODE,NODE_PACKAGE,enum,C/A,"how to setup node repo: none,local,public,both",
221,node_repo_remove,False,NODE,NODE_PACKAGE,bool,C/A,remove existing repo on node?,
222,node_repo_local_urls,['http://${admin_ip}/crystaldb.repo'],NODE,NODE_PACKAGE,string[],C,"local repo url, if node_repo_method = local,both",
223,node_packages,[],NODE,NODE_PACKAGE,string[],C,packages to be installed current nodes,
224,node_default_packages,"['lz4,unzip,bzip2,zlib,yum,pv,jq,git,ncdu,make,patch,bash,lsof,wget,uuid,tuned,nvme-cli,numactl,grubby,sysstat,iotop,htop,rsync,tcpdump', 'netcat,socat,ftp,lrzsz,net-tools,ipvsadm,bind-utils,telnet,audit,ca-certificates,openssl,readline,vim-minimal,node_exporter,etcd,haproxy,python3,python3-pip']",NODE,NODE_PACKAGE,string[],G,default packages to be installed on all nodes,
230,node_disable_firewall,True,NODE,NODE_TUNE,bool,C,disable node firewall? true by default,
231,node_disable_selinux,True,NODE,NODE_TUNE,bool,C,disable node selinux? true by default,
232,node_disable_numa,False,NODE,NODE_TUNE,bool,C,"disable node numa, reboot required",
233,node_disable_swap,False,NODE,NODE_TUNE,bool,C,"disable node swap, use with caution",
234,node_static_network,True,NODE,NODE_TUNE,bool,C,preserve dns resolver settings after reboot,
235,node_disk_prefetch,False,NODE,NODE_TUNE,bool,C,setup disk prefetch on HDD to increase performance,
236,node_kernel_modules,"['softdog', 'br_netfilter', 'ip_vs', 'ip_vs_rr', 'ip_vs_wrr', 'ip_vs_sh']",NODE,NODE_TUNE,string[],C,kernel modules to be enabled on this node,
237,node_hugepage_count,0,NODE,NODE_TUNE,int,C,"number of 2MB hugepage, take precedence over ratio",
238,node_hugepage_ratio,0,NODE,NODE_TUNE,float,C,"node mem hugepage ratio, 0 disable it by default",
239,node_overcommit_ratio,0,NODE,NODE_TUNE,float,C,"node mem overcommit ratio, 0 disable it by default",
240,node_tune,oltp,NODE,NODE_TUNE,enum,C,"node tuned profile: none,oltp,olap,crit,tiny",
241,node_sysctl_params,{},NODE,NODE_TUNE,dict,C,sysctl parameters in k:v format in addition to tuned,
250,node_data,/data,NODE,NODE_ADMIN,path,C,"node main data directory, `/data` by default",
251,node_admin_enabled,True,NODE,NODE_ADMIN,bool,C,create a admin user on target node?,
252,node_admin_uid,88,NODE,NODE_ADMIN,int,C,uid and gid for node admin user,
253,node_admin_username,dba,NODE,NODE_ADMIN,username,C,"name of node admin user, `dba` by default",
254,node_admin_ssh_exchange,True,NODE,NODE_ADMIN,bool,C,exchange admin ssh key among node cluster,
255,node_admin_pk_current,True,NODE,NODE_ADMIN,bool,C,add current user's ssh pk to admin authorized_keys,
256,node_admin_pk_list,[],NODE,NODE_ADMIN,string[],C,ssh public keys to be added to admin user,
260,node_timezone,,NODE,NODE_TIME,string,C,"setup node timezone, empty string to skip",
261,node_ntp_enabled,True,NODE,NODE_TIME,bool,C,enable chronyd time sync service?,
262,node_ntp_servers,['pool pool.ntp.org iburst'],NODE,NODE_TIME,string[],C,ntp servers in `/etc/chrony.conf`,
263,node_crontab_overwrite,True,NODE,NODE_TIME,bool,C,overwrite or append to `/etc/crontab`?,
264,node_crontab,[],NODE,NODE_TIME,string[],C,crontab entries in `/etc/crontab`,
270,haproxy_enabled,True,NODE,HAPROXY,bool,C,enable haproxy on this node?,
271,haproxy_clean,False,NODE,HAPROXY,bool,G/C/A,cleanup all existing haproxy config?,
272,haproxy_reload,True,NODE,HAPROXY,bool,A,reload haproxy after config?,
273,haproxy_auth_enabled,True,NODE,HAPROXY,bool,G,enable authentication for haproxy admin page,
274,haproxy_admin_username,admin,NODE,HAPROXY,username,G,"haproxy admin username, `admin` by default",
275,haproxy_admin_password,crystaldb,NODE,HAPROXY,password,G,"haproxy admin password, `crystaldb` by default",
276,haproxy_exporter_port,9101,NODE,HAPROXY,port,C,"haproxy admin/exporter port, 9101 by default",
277,haproxy_client_timeout,24h,NODE,HAPROXY,interval,C,"client side connection timeout, 24h by default",
278,haproxy_server_timeout,24h,NODE,HAPROXY,interval,C,"server side connection timeout, 24h by default",
279,haproxy_services,[],NODE,HAPROXY,service[],C,list of haproxy service to be exposed on node,
280,node_exporter_enabled,True,NODE,NODE_EXPORTER,bool,C,setup node_exporter on this node?,
281,node_exporter_port,9100,NODE,NODE_EXPORTER,port,C,"node exporter listen port, 9100 by default",
282,node_exporter_options,--no-collector.softnet --no-collector.nvme --collector.ntp --collector.tcpstat --collector.processes,NODE,NODE_EXPORTER,arg,C,extra server options for node_exporter,
283,promtail_enabled,True,NODE,PROMTAIL,bool,C,enable promtail logging collector?,
284,promtail_clean,False,NODE,PROMTAIL,bool,G/A,purge existing promtail status file during init?,
285,promtail_port,9080,NODE,PROMTAIL,port,C,"promtail listen port, 9080 by default",
286,promtail_positions,/var/log/positions.yaml,NODE,PROMTAIL,path,C,promtail position status file path,
401,docker_enabled,False,NODE,DOCKER,bool,C,enable docker on this node?,
402,docker_cgroups_driver,systemd,NODE,DOCKER,enum,C,"docker cgroup fs driver: cgroupfs,systemd",
403,docker_registry_mirrors,[],NODE,DOCKER,string[],C,docker registry mirror list,
404,docker_image_cache,/tmp/docker,NODE,DOCKER,path,C,"docker image cache dir, `/tmp/docker` by default",
501,etcd_seq,,ETCD,ETCD,int,I,"etcd instance identifier, REQUIRED",
502,etcd_cluster,etcd,ETCD,ETCD,string,C,"etcd cluster & group name, etcd by default",
503,etcd_safeguard,False,ETCD,ETCD,bool,G/C/A,prevent purging running etcd instance?,
504,etcd_clean,True,ETCD,ETCD,bool,G/C/A,purging existing etcd during initialization?,
505,etcd_data,/data/etcd,ETCD,ETCD,path,C,"etcd data directory, /data/etcd by default",
506,etcd_port,2379,ETCD,ETCD,port,C,"etcd client port, 2379 by default",
507,etcd_peer_port,2380,ETCD,ETCD,port,C,"etcd peer port, 2380 by default",
508,etcd_init,new,ETCD,ETCD,enum,C,"etcd initial cluster state, new or existing",
509,etcd_election_timeout,1000,ETCD,ETCD,int,C,"etcd election timeout, 1000ms by default",
510,etcd_heartbeat_interval,100,ETCD,ETCD,int,C,"etcd heartbeat interval, 100ms by default",
601,minio_seq,,MINIO,MINIO,int,I,"minio instance identifier, REQUIRED",
602,minio_cluster,minio,MINIO,MINIO,string,C,"minio cluster name, minio by default",
603,minio_clean,False,MINIO,MINIO,bool,G/C/A,"cleanup minio during init?, false by default",
604,minio_user,minio,MINIO,MINIO,username,C,"minio os user, `minio` by default",
605,minio_node,${minio_cluster}-${minio_seq}.crystaldb,MINIO,MINIO,string,C,minio node name pattern,
606,minio_data,/data/minio,MINIO,MINIO,path,C,"minio data dir(s), use {x...y} to specify multi drivers",
607,minio_domain,sss.crystaldb,MINIO,MINIO,string,G,"minio service domain name, `sss.crystaldb` by default",
608,minio_port,9000,MINIO,MINIO,port,C,"minio service port, 9000 by default",
609,minio_admin_port,9001,MINIO,MINIO,port,C,"minio console port, 9001 by default",
610,minio_access_key,minioadmin,MINIO,MINIO,username,C,"root access key, `minioadmin` by default",
611,minio_secret_key,minioadmin,MINIO,MINIO,password,C,"root secret key, `minioadmin` by default",
612,minio_extra_vars,,MINIO,MINIO,string,C,extra environment variables for minio server,
613,minio_alias,sss,MINIO,MINIO,string,G,alias name for local minio deployment,
614,minio_buckets,"[{'name': 'pgsql'}, {'name': 'csi'}, {'name': 'redis'}]",MINIO,MINIO,bucket[],C,list of minio bucket to be created,
615,minio_users,"[{'policy': 'consoleAdmin', 'access_key': 'dba', 'secret_key': 'S3User.DBA'}, {'policy': 'readwrite', 'access_key': 'pgbackrest', 'secret_key': 'S3User.Backup'}]",MINIO,MINIO,user[],C,list of minio user to be created,
701,redis_cluster,,REDIS,REDIS,string,C,"redis cluster name, required identity parameter",
702,redis_instances,,REDIS,REDIS,dict,I,redis instances definition on this redis node,
703,redis_node,,REDIS,REDIS,int,I,"redis node sequence number, node int id required",
710,redis_fs_main,/data,REDIS,REDIS,path,C,"redis main data mountpoint, `/data` by default",
711,redis_exporter_enabled,True,REDIS,REDIS,bool,C,install redis exporter on redis nodes?,
